Date,Division,ClubCanonical,ClubNameRaw,Opponent,IsHome,GoalsFor,GoalsAgainst,Result,HomeShots,AwayShots,ShotsFor,ShotsAgainst,HomeYellow,AwayYellow,YellowsFor,YellowsAgainst,HomeRed,AwayRed,RedsFor,RedsAgainst,HomeFouls,AwayFouls,FoulsFor,FoulsAgainst,MatchID,Season
9/9/2000,SP1,Barcelona,Barcelona,Malaga,TRUE,2,1,Win,,,,,,,,,,,,,,,,,503,2000-2001
9/16/2000,SP1,Barcelona,Barcelona,Ath Bilbao,FALSE,1,3,Loss,,,,,,,,,,,,,,,,,689,2000-2001
9/23/2000,SP1,Barcelona,Barcelona,Santander,TRUE,3,1,Win,,,,,,,,,,,,,,,,,810,2000-2001
10/1/2000,SP1,Barcelona,Barcelona,La Coruna,FALSE,0,2,Loss,,,,,,,,,,,,,,,,,973,2000-2001
10/14/2000,SP1,Barcelona,Barcelona,Sociedad,FALSE,6,0,Win,,,,,,,,,,,,,,,,,1155,2000-2001
10/21/2000,SP1,Barcelona,Barcelona,Real Madrid,TRUE,2,0,Win,,,,,,,,,,,,,,,,,1281,2000-2001
10/28/2000,SP1,Barcelona,Barcelona,Mallorca,FALSE,0,2,Loss,,,,,,,,,,,,,,,,,1489,2000-2001
11/1/2000,SP1,Barcelona,Barcelona,Numancia,TRUE,1,1,Draw,,,,,,,,,,,,,,,,,1564,2000-2001
11/4/2000,SP1,Barcelona,Barcelona,Las Palmas,FALSE,1,0,Win,,,,,,,,,,,,,,,,,1650,2000-2001
11/12/2000,SP1,Barcelona,Barcelona,Villarreal,TRUE,1,2,Loss,,,,,,,,,,,,,,,,,1860,2000-2001
11/19/2000,SP1,Barcelona,Barcelona,Zaragoza,FALSE,1,3,Loss,,,,,,,,,,,,,,,,,2003,2000-2001
11/26/2000,SP1,Barcelona,Barcelona,Osasuna,TRUE,2,0,Win,,,,,,,,,,,,,,,,,2107,2000-2001
12/2/2000,SP1,Barcelona,Barcelona,Celta,FALSE,3,3,Draw,,,,,,,,,,,,,,,,,2237,2000-2001
12/10/2000,SP1,Barcelona,Barcelona,Espanol,TRUE,4,2,Win,,,,,,,,,,,,,,,,,2406,2000-2001
12/16/2000,SP1,Barcelona,Barcelona,Vallecano,FALSE,2,2,Draw,,,,,,,,,,,,,,,,,2543,2000-2001
12/20/2000,SP1,Barcelona,Barcelona,Alaves,TRUE,3,2,Win,,,,,,,,,,,,,,,,,2626,2000-2001
1/7/2001,SP1,Barcelona,Barcelona,Oviedo,FALSE,3,2,Win,,,,,,,,,,,,,,,,,2846,2000-2001
1/13/2001,SP1,Barcelona,Barcelona,Valladolid,TRUE,3,1,Win,,,,,,,,,,,,,,,,,2904,2000-2001
1/20/2001,SP1,Barcelona,Barcelona,Valencia,FALSE,1,0,Win,,,,,,,,,,,,,,,,,2997,2000-2001
1/27/2001,SP1,Barcelona,Barcelona,Malaga,FALSE,0,0,Draw,,,,,,,,,,,,,,,,,3111,2000-2001
2/3/2001,SP1,Barcelona,Barcelona,Ath Bilbao,TRUE,7,0,Win,,,,,,,,,,,,,,,,,3237,2000-2001
2/11/2001,SP1,Barcelona,Barcelona,Santander,FALSE,0,4,Loss,,,,,,,,,,,,,,,,,3425,2000-2001
2/17/2001,SP1,Barcelona,Barcelona,La Coruna,TRUE,2,3,Loss,,,,,,,,,,,,,,,,,3493,2000-2001
2/25/2001,SP1,Barcelona,Barcelona,Sociedad,TRUE,3,0,Win,,,,,,,,,,,,,,,,,3676,2000-2001
3/3/2001,SP1,Barcelona,Barcelona,Real Madrid,FALSE,2,2,Draw,,,,,,,,,,,,,,,,,3796,2000-2001
3/11/2001,SP1,Barcelona,Barcelona,Mallorca,TRUE,1,1,Draw,,,,,,,,,,,,,,,,,3986,2000-2001
3/18/2001,SP1,Barcelona,Barcelona,Numancia,FALSE,1,1,Draw,,,,,,,,,,,,,,,,,4117,2000-2001
4/1/2001,SP1,Barcelona,Barcelona,Las Palmas,TRUE,4,1,Win,,,,,,,,,,,,,,,,,4312,2000-2001
4/8/2001,SP1,Barcelona,Barcelona,Villarreal,FALSE,4,4,Draw,,,,,,,,,,,,,,,,,4484,2000-2001
4/14/2001,SP1,Barcelona,Barcelona,Zaragoza,TRUE,4,4,Draw,,,,,,,,,,,,,,,,,4600,2000-2001
